id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
0,Thompson,tube,7.0,3770.0,0.1754,,10.8,432.0,3.6
1,Thompson,tube,,6049.0,-0.0416,10.3,10.3,762.0,6.2
2,Thompson,,13.79,2034.0,0.0335,7.7,7.7,457.0,2.5
3,Beus,annulus,13.79,3679.0,-0.0279,5.6,15.2,2134.0,3.0
4,,tube,13.79,686.0,,11.1,11.1,457.0,2.8
5,,,17.24,3648.0,-0.0711,,1.9,696.0,3.6
6,Thompson,,6.89,549.0,0.1203,12.8,12.8,1930.0,2.6
7,Peskov,tube,18.0,750.0,,10.0,10.0,1650.0,2.2
8,,tube,12.07,4042.0,-0.0536,,,152.0,5.6
9,Peskov,tube,12.0,1617.0,0.1228,10.0,10.0,520.0,2.2
10,Thompson,tube,,,,1.9,1.9,152.0,3.2
11,Janssen,annulus,4.13,1519.0,0.0515,12.7,,1778.0,4.6
12,Thompson,,6.89,7500.0,,,12.8,1930.0,4.8
13,Peskov,tube,12.0,2794.0,-0.0297,10.0,,1650.0,2.9
14,Thompson,tube,,2306.0,-0.0719,1.9,1.9,152.0,3.8
15,Thompson,tube,12.07,3255.0,0.0406,1.9,1.9,152.0,2.9
16,,tube,6.89,4069.0,0.0141,10.8,10.8,,5.3
17,Thompson,tube,10.41,2563.0,0.1092,4.6,4.6,229.0,6.8
18,Thompson,tube,,1858.0,0.0406,,10.8,432.0,3.4
19,Janssen,,9.68,5615.0,-0.0204,6.4,15.9,914.0,6.2
20,Thompson,tube,,,-0.0264,10.3,10.3,762.0,4.5
21,Thompson,tube,13.79,,-0.0579,1.9,1.9,152.0,4.7
22,Weatherhead,tube,13.79,,-0.0124,11.1,11.1,457.0,3.6
23,Beus,annulus,15.51,1355.0,,5.6,15.2,2134.0,2.1
24,Thompson,tube,,2143.0,0.0332,7.8,7.8,,2.9
25,,tube,13.79,6198.0,-0.137,4.7,,318.0,9.2
26,Thompson,,18.96,,-0.246,1.9,,152.0,4.0
27,Weatherhead,,13.79,,,11.1,11.1,457.0,3.5
28,,tube,13.79,2061.0,-0.0276,7.8,7.8,591.0,2.1
29,Weatherhead,tube,13.79,,-0.0638,7.7,7.7,457.0,4.9
30,Janssen,annulus,9.68,5615.0,0.0196,12.7,38.1,914.0,2.9
31,,tube,12.0,1408.0,0.1103,10.0,10.0,1650.0,1.4
32,Thompson,tube,13.79,933.0,-0.1005,7.8,7.8,591.0,2.3
33,,tube,4.96,4136.0,-0.0668,5.6,,432.0,3.5
34,Thompson,tube,13.79,1275.0,,,7.8,591.0,2.4
35,Weatherhead,tube,13.79,1926.0,0.0253,,11.1,457.0,2.4
36,Thompson,tube,13.79,1655.0,,7.7,7.7,457.0,3.8
37,Janssen,annulus,,1519.0,0.0052,12.7,,1778.0,3.3
38,Thompson,tube,13.79,1482.0,0.0465,4.7,,318.0,2.8
39,Thompson,tube,13.79,5588.0,,5.7,5.7,625.0,3.3
